Asteroid ID,Asteroid Name,Min Estimated Diameter (km),Absolute Magnitude,Relative Velocity (km/s)
2216523,216523 (2001 HY7),0.1925550782,20.7,13.0121883425
2494697,494697 (2004 SW55),0.1864468183,20.77,10.0478001196
2496860,496860 (1999 XL136),0.3094246986,19.67,16.7624360583
3311963,(2006 AL4),0.0275775053,24.92,9.4579600698
3401388,(2008 CO),0.0802703167,22.6,4.4645655825
3565474,(2011 JR13),0.3023813326,19.72,24.9931889844
3752099,(2016 GD241),0.1363185559,21.45,29.7038083295
3827355,(2018 RH3),0.0160160338,26.1,16.2331353604
3976533,(2020 AP1),0.0031956189,29.6,5.6517941391
54191244,(2021 QC3),0.0377185489,24.24,8.1228813159
54235405,(2022 AF),0.0518268695,23.55,9.7524815777
54235666,(2022 AR2),0.0078082728,27.66,11.6029565023
54236614,(2022 AZ5),0.0702352248,22.89,1.8564002385
54245585,(2022 CV2),0.0670741189,22.99,8.8178282495
54245818,(2022 CO3),0.0191670368,25.71,4.3330474572
54246945,(2022 CN6),0.049952241,23.63,9.8502334438
54247545,(2016 FH60),0.06259721,23.14,8.8180100069
54278177,(2022 JS),0.0166170902,26.02,3.3329790086
54282696,(2022 LW2),0.0175612318,25.9,9.2659132128
54425755,(2024 CU1),0.0120380177,26.72,25.8115970732
54440311,(2022 AY54),0.0023580607,30.26,17.8343002747
54462805,(2024 NM3),0.0258556212,25.06,16.0786338517
3313974,(2006 BV39),0.0040230458,29.1,22.7391653876
3366282,(2007 BD),0.022108281,25.4,19.3262110391
3986680,(2020 AL3),0.0152951935,26.2,23.2289584571
54106298,(2021 BO),0.0006832112,32.95,19.5943065117
54160408,(2021 LG7),0.0404161533,24.09,9.2921585485
54214719,(2021 UW6),0.0917392059,22.31,10.9229976895
54235431,(2022 AL),0.0096062741,27.21,4.1088479046
54235463,(2022 AU),0.0039678475,29.13,7.2292378449
54235467,(2022 AY),0.0216050351,25.45,12.2317612796
54235479,(2022 AL1),0.0147419515,26.28,8.8316429811
54235524,(2022 AO1),0.0031956189,29.6,14.0833111554
54235674,(2022 AZ2),0.0074912618,27.75,9.77217224
54243723,(2022 BX5),0.0041357566,29.04,0.6500953649
54330582,(2022 WQ9),0.004770402,28.73,5.1073246446
54415896,(2023 XU10),0.0078082728,27.66,14.9301728065
3555070,(2011 AU4),0.0175612318,25.9,13.3437442927
3595775,(2012 AB11),0.0913177026,22.32,17.6164585855
3671126,(2014 JJ55),0.0231502122,25.3,6.886716818
3780740,(2017 QW1),0.0152951935,26.2,8.0150396385
3840701,(2019 FZ),0.1420872067,21.36,22.7920979954
54099344,(2020 XP2),0.099667824,22.13,8.7044082769
54235528,(2022 AT1),0.0151549664,26.22,12.8183926829
54279766,(2022 KE),0.0211132445,25.5,5.5422572675
54338714,(2023 AW),0.0194336768,25.68,11.8790419524
2668499,668499 (2012 AB11),0.0913177026,22.32,17.6164585635
2352102,352102 (2007 AG12),0.3585543342,19.35,23.0434908322
2471108,471108 (2010 CL1),0.3536347843,19.38,9.2632074683
3365921,(2007 AM),0.1149621763,21.82,11.365527618
3479014,(2009 WM105),0.0667659413,23.0,9.734200755
